ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
11/09/2021 06:48:43,12.5,1295.81,2245099520,30.0,9.0,0.0,28.0,,
11/09/2021 06:48:54,0.7,1074.95,2243792896,29.0,9.0,0.0,28.0,,
11/09/2021 06:49:04,1.3,908.12,2153725952,29.0,9.0,0.0,28.0,,
11/09/2021 06:49:14,0.2,860.82,2153742336,29.0,9.0,0.0,28.0,,
11/09/2021 06:49:25,1.2,1026.15,2166067200,29.0,9.0,0.0,29.0,,
11/09/2021 06:49:35,1.0,3648.45,2190368768,34.0,9.0,0.0,28.0,,
11/09/2021 06:49:45,1.1,878.05,2156408832,27.0,9.0,0.0,28.0,,
11/09/2021 06:49:55,0.1,915.92,2156580864,28.0,9.0,0.0,28.0,,
11/09/2021 06:50:06,0.3,824.64,2125799424,28.0,9.0,0.0,28.0,,
11/09/2021 06:50:16,0.2,882.75,2125295616,27.0,9.0,0.0,28.0,,
11/09/2021 06:50:26,0.2,933.05,2125774848,28.0,9.0,0.0,28.0,,
11/09/2021 06:50:37,0.1,930.28,2124423168,27.0,9.0,0.0,28.0,,
11/09/2021 06:50:47,0.2,855.21,2123251712,27.0,9.0,0.0,28.0,,
11/09/2021 06:50:57,0.2,950.74,2123665408,28.0,9.0,0.0,28.0,,
11/09/2021 06:51:08,0.2,1271.79,2123767808,26.0,9.0,0.0,28.0,,
11/09/2021 06:51:18,0.2,894.84,2123517952,27.0,9.0,0.0,28.0,,
11/09/2021 06:51:28,0.3,3500.72,2122993664,27.0,9.0,0.0,28.0,,
11/09/2021 06:51:39,0.2,914.91,2122764288,27.0,9.0,0.0,28.0,,
11/09/2021 06:51:49,0.2,908.92,2122358784,26.0,9.0,0.0,29.0,,
11/09/2021 06:51:59,0.1,833.17,2120962048,27.0,9.0,0.0,28.0,,
11/09/2021 06:52:09,0.2,886.29,2121437184,27.0,9.0,0.0,28.0,,
11/09/2021 06:52:20,0.2,894.38,2121191424,26.0,9.0,0.0,28.0,,
