ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
11/09/2021 10:09:48,12.5,963.73,1673400320,29.0,9.0,0.0,31.0,,
11/09/2021 10:09:59,0.2,918.37,1674752000,28.0,9.0,0.0,31.0,,
11/09/2021 10:10:09,0.4,835.73,1674235904,29.0,9.0,0.0,31.0,,
11/09/2021 10:10:20,0.6,847.9,1673453568,28.0,9.0,0.0,31.0,,
11/09/2021 10:10:30,0.7,940.25,1672699904,27.0,9.0,0.0,31.0,,
11/09/2021 10:10:40,0.5,884.02,1673187328,29.0,9.0,0.0,31.0,,
11/09/2021 10:10:50,0.3,811.06,1673179136,28.0,9.0,0.0,31.0,,
11/09/2021 10:11:01,0.1,824.4,1672912896,28.0,9.0,0.0,31.0,,
11/09/2021 10:11:11,0.1,3593.52,1673379840,28.0,9.0,0.0,31.0,,
11/09/2021 10:11:22,0.1,820.2,1673474048,27.0,9.0,0.0,31.0,,
11/09/2021 10:11:32,0.1,837.95,1673506816,27.0,9.0,0.0,31.0,,
11/09/2021 10:11:42,0.1,846.82,1673670656,27.0,9.0,0.0,30.0,,
11/09/2021 10:11:52,0.1,888.21,1673703424,28.0,9.0,0.0,30.0,,
11/09/2021 10:12:03,0.1,821.08,1673633792,28.0,9.0,0.0,30.0,,
11/09/2021 10:12:13,0.1,819.81,1673764864,28.0,9.0,0.0,30.0,,
11/09/2021 10:12:24,0.1,835.09,1673666560,28.0,9.0,0.0,30.0,,
11/09/2021 10:12:34,0.1,835.66,1673359360,27.0,9.0,0.0,30.0,,
11/09/2021 10:12:44,0.1,870.08,1673388032,27.0,9.0,0.0,30.0,,
11/09/2021 10:12:54,0.1,822.19,1674485760,28.0,9.0,0.0,30.0,,
11/09/2021 10:13:05,0.1,807.71,1674448896,28.0,9.0,0.0,30.0,,
11/09/2021 10:13:15,0.1,821.26,1674223616,28.0,9.0,0.0,30.0,,
11/09/2021 10:13:26,0.1,859.13,1674608640,27.0,9.0,0.0,30.0,,
11/09/2021 10:13:36,0.1,841.05,1674932224,27.0,9.0,0.0,30.0,,
11/09/2021 10:13:46,0.1,818.82,1675161600,27.0,9.0,0.0,30.0,,
11/09/2021 10:13:56,0.1,822.62,1674969088,27.0,9.0,0.0,30.0,,
11/09/2021 10:14:07,0.1,822.45,1674960896,27.0,9.0,0.0,30.0,,
11/09/2021 10:14:17,0.1,876.28,1674772480,28.0,9.0,0.0,30.0,,
11/09/2021 10:14:28,0.1,846.34,1674358784,27.0,9.0,0.0,30.0,,
11/09/2021 10:14:38,0.1,856.29,1674539008,28.0,9.0,0.0,30.0,,
11/09/2021 10:14:48,0.1,836.17,1674063872,28.0,9.0,0.0,30.0,,
11/09/2021 10:14:59,0.1,816.3,1674063872,27.0,9.0,0.0,30.0,,
11/09/2021 10:15:09,0.1,827.53,1673719808,26.0,9.0,0.0,30.0,,
11/09/2021 10:15:19,0.1,907.22,1673277440,28.0,9.0,0.0,30.0,,
11/09/2021 10:15:30,0.1,865.48,1674018816,27.0,9.0,0.0,30.0,,
11/09/2021 10:15:40,0.1,831.16,1674514432,27.0,9.0,0.0,30.0,,
11/09/2021 10:15:50,0.1,833.36,1674407936,27.0,9.0,0.0,30.0,,
11/09/2021 10:16:01,0.1,850.93,1674248192,27.0,9.0,0.0,30.0,,
11/09/2021 10:16:11,0.1,906.69,1674428416,28.0,9.0,0.0,30.0,,
11/09/2021 10:16:21,0.1,831.91,1674776576,28.0,9.0,0.0,30.0,,
11/09/2021 10:16:32,0.1,816.49,1674821632,27.0,9.0,0.0,30.0,,
11/09/2021 10:16:42,0.1,846.77,1674297344,27.0,9.0,0.0,30.0,,
