ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
10/28/2021 09:54:59,12.9,968.33,2008309760,30.0,9.0,0.0,35.0,,
10/28/2021 09:55:10,0.6,960.97,2009825280,29.0,9.0,0.0,35.0,,
10/28/2021 09:55:20,0.4,813.06,2008621056,29.0,9.0,0.0,35.0,,
10/28/2021 09:55:31,0.1,840.6,2009104384,29.0,9.0,0.0,35.0,,
10/28/2021 09:55:41,0.1,860.6,2008477696,29.0,9.0,0.0,35.0,,
10/28/2021 09:55:51,0.1,826.83,2008633344,29.0,9.0,0.0,34.0,,
10/28/2021 09:56:02,2.2,3936.68,2205593600,42.0,39.0,0.0,35.0,,
10/28/2021 09:56:12,12.7,3938.99,2210541568,41.0,4043.0,1.0,42.0,,
10/28/2021 09:56:23,12.7,3910.36,2286034944,43.0,4043.0,1.0,46.0,,
10/28/2021 09:56:33,12.6,3924.22,2285817856,44.0,4043.0,1.0,49.0,,
10/28/2021 09:56:43,3.2,977.67,2284507136,33.0,4043.0,1.0,50.0,,
10/28/2021 09:56:53,0.8,852.85,2286120960,32.0,4043.0,1.0,52.0,,
10/28/2021 09:57:04,0.8,909.17,2286862336,32.0,4043.0,1.0,54.0,,
10/28/2021 09:57:14,0.7,891.4,2287321088,32.0,4043.0,1.0,56.0,,
10/28/2021 09:57:24,0.6,977.33,2287005696,33.0,4043.0,1.0,57.0,,
10/28/2021 09:57:35,0.7,905.25,2287206400,31.0,4043.0,1.0,59.0,,
10/28/2021 09:57:45,0.7,1218.44,2286997504,33.0,4043.0,1.0,60.0,,
10/28/2021 09:57:55,0.7,1175.79,2287865856,32.0,4043.0,1.0,61.0,,
10/28/2021 09:58:06,0.8,967.85,2287325184,31.0,4043.0,1.0,62.0,,
10/28/2021 09:58:16,0.7,897.63,2287095808,31.0,4043.0,1.0,63.0,,
10/28/2021 09:58:27,0.7,902.72,2288410624,32.0,4043.0,1.0,64.0,,
10/28/2021 09:58:37,0.7,930.12,2288115712,31.0,4043.0,1.0,65.0,,
10/28/2021 09:58:47,0.7,911.58,2287800320,31.0,4043.0,1.0,65.0,,
10/28/2021 09:58:58,0.8,1284.32,2287169536,31.0,4043.0,1.0,66.0,,
10/28/2021 09:59:08,0.7,1257.26,2286469120,30.0,4043.0,1.0,66.0,,
10/28/2021 09:59:18,0.7,1412.9,2287566848,31.0,4043.0,1.0,67.0,,
10/28/2021 09:59:29,0.6,913.92,2287792128,31.0,4043.0,1.0,67.0,,
10/28/2021 09:59:39,0.6,998.2,2287472640,31.0,4043.0,1.0,67.0,,
10/28/2021 09:59:49,0.8,1240.58,2286886912,31.0,4043.0,1.0,68.0,,
10/28/2021 09:59:59,0.6,1177.07,2285830144,31.0,4043.0,1.0,68.0,,
10/28/2021 10:00:10,0.8,839.89,2286829568,31.0,4043.0,1.0,68.0,,
10/28/2021 10:00:20,0.8,1381.54,2287443968,32.0,4043.0,1.0,68.0,,
10/28/2021 10:00:31,0.8,957.77,2287177728,31.0,4043.0,1.0,69.0,,
10/28/2021 10:00:41,0.7,950.45,2287460352,32.0,4043.0,1.0,69.0,,
10/28/2021 10:00:51,0.6,1215.98,2287218688,31.0,4043.0,1.0,69.0,,
10/28/2021 10:01:02,1.3,873.31,2286911488,31.0,4043.0,1.0,69.0,,
10/28/2021 10:01:12,1.0,1078.42,2287443968,31.0,4043.0,1.0,69.0,,
10/28/2021 10:01:23,0.7,907.06,2287140864,31.0,4043.0,1.0,69.0,,
10/28/2021 10:01:33,0.7,846.96,2286850048,32.0,4043.0,1.0,70.0,,
10/28/2021 10:01:43,0.8,980.64,2287108096,32.0,4043.0,1.0,70.0,,
10/28/2021 10:01:53,0.6,978.66,2288099328,31.0,4043.0,1.0,70.0,,
10/28/2021 10:02:04,0.7,940.52,2287828992,31.0,4043.0,1.0,70.0,,
10/28/2021 10:02:14,0.8,1097.23,2288287744,32.0,4043.0,1.0,70.0,,
10/28/2021 10:02:25,0.8,1004.31,2286866432,32.0,4043.0,1.0,70.0,,
10/28/2021 10:02:35,0.8,987.02,2287181824,32.0,4043.0,1.0,70.0,,
10/28/2021 10:02:45,0.7,937.8,2288189440,32.0,4043.0,1.0,70.0,,
10/28/2021 10:02:55,0.6,975.35,2288472064,32.0,4043.0,1.0,70.0,,
10/28/2021 10:03:06,0.8,954.99,2288398336,33.0,4043.0,1.0,70.0,,
10/28/2021 10:03:16,0.8,998.19,2290462720,32.0,4043.0,1.0,70.0,,
10/28/2021 10:03:27,0.7,970.38,2289246208,32.0,4043.0,1.0,70.0,,
10/28/2021 10:03:37,0.7,1334.63,2290061312,33.0,4043.0,1.0,70.0,,
10/28/2021 10:03:47,0.7,862.49,2289233920,32.0,4043.0,1.0,70.0,,
10/28/2021 10:03:57,0.7,962.69,2289991680,32.0,4043.0,1.0,70.0,,
10/28/2021 10:04:08,0.7,1009.25,2289885184,32.0,4043.0,1.0,70.0,,
10/28/2021 10:04:18,0.6,897.31,2290057216,32.0,4043.0,1.0,70.0,,
