ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
10/29/2021 08:02:04,12.5,1039.24,2319101952,33.0,4043.0,1.0,70.0,,
10/29/2021 08:02:15,0.7,890.9,2319937536,32.0,4043.0,1.0,70.0,,
10/29/2021 08:02:25,0.8,1606.62,2318635008,33.0,4043.0,1.0,70.0,,
10/29/2021 08:02:35,1.1,926.85,2318962688,32.0,4043.0,1.0,70.0,,
10/29/2021 08:02:46,1.2,1341.77,2319945728,32.0,4043.0,1.0,70.0,,
10/29/2021 08:02:56,1.0,1004.23,2320482304,32.0,4043.0,1.0,70.0,,
10/29/2021 08:03:06,1.2,1135.88,2321829888,32.0,4043.0,1.0,70.0,,
10/29/2021 08:03:17,1.1,1121.03,2321235968,33.0,4043.0,1.0,70.0,,
10/29/2021 08:03:27,1.4,1140.8,2321080320,32.0,4043.0,1.0,70.0,,
10/29/2021 08:03:37,1.1,984.92,2321199104,34.0,4043.0,1.0,70.0,,
10/29/2021 08:03:48,1.0,931.29,2320764928,32.0,4043.0,1.0,70.0,,
10/29/2021 08:03:58,1.1,1185.45,2320760832,32.0,4043.0,1.0,70.0,,
10/29/2021 08:04:08,1.0,1397.26,2320441344,33.0,4043.0,1.0,70.0,,
10/29/2021 08:04:19,0.8,884.23,2321682432,32.0,4043.0,1.0,70.0,,
10/29/2021 08:04:29,0.8,1696.65,2319831040,33.0,4043.0,1.0,70.0,,
10/29/2021 08:04:39,0.7,844.46,2320592896,33.0,4043.0,1.0,70.0,,
10/29/2021 08:04:50,0.8,986.56,2320801792,32.0,4043.0,1.0,70.0,,
10/29/2021 08:05:00,0.7,954.36,2320699392,33.0,4043.0,1.0,70.0,,
10/29/2021 08:05:10,0.8,941.08,2321719296,31.0,4043.0,1.0,70.0,,
10/29/2021 08:05:21,0.7,917.76,2321174528,31.0,4043.0,1.0,70.0,,
10/29/2021 08:05:31,0.7,874.92,2321055744,32.0,4043.0,1.0,70.0,,
10/29/2021 08:05:41,0.7,918.18,2321555456,32.0,4043.0,1.0,70.0,,
10/29/2021 08:05:52,0.7,1140.88,2319904768,32.0,4043.0,1.0,70.0,,
10/29/2021 08:06:02,0.7,873.43,2319794176,32.0,4043.0,1.0,70.0,,
10/29/2021 08:06:12,0.8,886.91,2321707008,32.0,4043.0,1.0,71.0,,
10/29/2021 08:06:23,0.5,865.91,2321027072,32.0,4043.0,1.0,70.0,,
10/29/2021 08:06:33,0.7,924.37,2321620992,32.0,4043.0,1.0,70.0,,
10/29/2021 08:06:43,0.8,966.64,2321887232,32.0,4043.0,1.0,70.0,,
10/29/2021 08:06:54,0.7,842.97,2321715200,32.0,4043.0,1.0,70.0,,
10/29/2021 08:07:04,0.6,904.5,2321354752,34.0,4043.0,1.0,70.0,,
10/29/2021 08:07:14,0.8,1099.75,2320711680,32.0,4043.0,1.0,70.0,,
10/29/2021 08:07:25,0.6,843.31,2322096128,32.0,4043.0,1.0,71.0,,
10/29/2021 08:07:35,0.9,981.98,2323148800,32.0,4043.0,1.0,70.0,,
